name,address,cuisine,price,service_style,menu,flavors
Rantei Japanese Cuisine,"1271 Franklin Mall, Santa Clara, CA 95050","Sushi Bars, Japanese",$$$,Takeout/Delivery Available,"Hamachi Carpaccio, Fish Taco, Beef Skewers, Dragon, Chicken Karaage","fresh, authentic"
Home Kitchen Vietnamese Cuisine,"1045 Monroe St, Santa Clara, CA 95050","Vietnamese, Vegetarian",$$,Sit-down,Menu extraction failed,Standard
Seniore's Pizza,"940 Monroe St, Santa Clara, CA 95050","Pizza, Burgers, Sandwiches",$$,Takeout/Delivery Available,"Chicken Wings, Veggie Lover Pizza, Pepperoni Pizza, Pesto Pizza, Baja Chicken Pizza","authentic, fresh"
Mio Vicino,"1290 Benton St, Santa Clara, CA 95050",Italian,$$,Takeout/Delivery Available,"Shrimp Pie, Lasagna, Bruschetta, Cheese Pizza, Fried Calamari","fresh, rich"
Chicken Meets Rice,"1331 Coleman Ave, Santa Clara, CA 95050",Asian Fusion,$$,Sit-down,Menu extraction failed,Standard
Men-Bei Ramen,"1349 Coleman Ave, Santa Clara, CA 95050",Ramen,$$,Sit-down,Menu extraction failed,Standard
McDonald's,"1451 Coleman Ave, Santa Clara, CA 95050","Fast Food, Burgers, Coffee & Tea",$,Sit-down,Menu extraction failed,Standard
White Elephant Thai Cuisine - Santa Clara,"930 El Camino Real, Santa Clara, CA 95050",Thai,$$,Sit-down,Menu extraction failed,Standard
Euro Grill,"980 El Camino Real, Ste 100, Santa Clara, CA 95050","Mediterranean, Halal, Creperies",$$,Takeout/Delivery Available,"Stuffed Cabbage, Ajvar, Mediterranean Salad, Turkish, Chicken Noodle Soup","spicy, authentic"
Jack In The Box,"911 El Camino Real, Santa Clara, CA 95050","Fast Food, Burgers, Tacos",$,Sit-down,Menu extraction failed,Standard
Sara's Kitchen,"1595 Franklin St, Santa Clara, CA 95050","American, Breakfast & Brunch, Cheesesteaks",$$,Sit-down,Menu extraction failed,Standard
Su's Mongolian BBQ,"1111 El Camino Real, Santa Clara, CA 95050","Barbeque, Buffets, Mongolian",$$,Sit-down,Menu extraction failed,Standard
Taqueria La Veracruzana,"1510 Jackson St, Santa Clara, CA 95050","Mexican, Beer Bar",$$,Takeout/Delivery Available,"Chicken Enchiladas, Fish Tacos, Menudo, Shrimp Tacos, Wet Burrito","fresh, sweet"
Mr Chef Kitchen- momohub,"1686 Lafayette St, Santa Clara, CA 95050","Chinese, Indian, Himalayan/Nepalese",$$,Sit-down,Menu extraction failed,Standard
Chikin Drip,"530 Newhall Dr, San Jose, CA 95110","Chicken Shop, Burgers, Halal",$$,Sit-down,Menu extraction failed,Standard
Chipotle Mexican Grill,"540 Newhall Dr, Ste 10, San Jose, CA 95110","Mexican, Fast Food",$,Sit-down,Menu extraction failed,Standard
In-N-Out Burger,"550 Newhall Dr, San Jose, CA 95110","Burgers, Fast Food",$$,Sit-down,Menu extraction failed,Standard
KFC,"1353 El Camino Real, Santa Clara, CA 95050","Fast Food, Chicken Wings, Chicken Shop",$,Sit-down,Menu extraction failed,Standard
El Palenque,"1860 The Alameda, San Jose, CA 95109","Restaurants, Lounges",$$,Takeout/Delivery Available,Menu extraction failed,"spicy, fresh"
ACHILLES,"2521 Newhall St, Santa Clara, CA 95050","Mediterranean, Halal, Greek",$$,Sit-down,Menu extraction failed,Standard
Kettle'e,"1610 El Camino Real, Santa Clara, CA 95050","Indian, Bakeries, Breakfast & Brunch",$,Sit-down,Menu extraction failed,Standard
Imagine It Bakery,"1920 Lafayette St, Unit G, Santa Clara, CA 95050","Bakeries, Gluten-Free",$,Takeout/Delivery Available,Menu extraction failed,"fresh, sweet"
Kabab and Curry's,"1498 Isabella St, Santa Clara, CA 95050","Indian, Pakistani, Halal",$$,Sit-down,Menu extraction failed,Standard
Taco Bell,"1680 El Camino Real, Santa Clara, CA 95050","Fast Food, Mexican",$,Sit-down,Menu extraction failed,Standard
Medina Kabob House,"1989 Bellomy St, Santa Clara, CA 95050",Afghan,$,Sit-down,Menu extraction failed,Standard
Katsuyaki,"1992 Lafayette St, Santa Clara, CA 95050","Japanese, Sandwiches, Burgers",$$,Sit-down,Menu extraction failed,Standard
Popeyes Louisiana Kitchen,"1790 El Camino Real, Santa Clara, CA 95050","Fast Food, Chicken Wings",$,Takeout/Delivery Available,"Fried Chicken, Cinnamon Apple Pie, Popcorn Shrimp, Chicken Thighs, Spicy Chicken Sandwich","fresh, spicy"
SJ Eats,"Almaden Ave and Saint John St, San Jose, CA 95110","Specialty Food, Festivals, Food Stands",$,Sit-down,Menu extraction failed,Standard
Denny's,"1745 El Camino Real, Santa Clara, CA 95050","American, Diners, Breakfast & Brunch",$,Takeout/Delivery Available,"Grand Slam, French Toast, Turkey Bacon","fresh, authentic"
Campus Burgers,"1701 Park Ave, San Jose, CA 95126",Burgers,$,Sit-down,Menu extraction failed,Standard
Teaqueria,"894 Emory St, San Jose, CA 95126","Coffee & Tea, Tacos",$$,Sit-down,Menu extraction failed,Standard
Kenny's Cafe,"2315 De La Cruz Blvd, Santa Clara, CA 95050",Cafes,$$,Takeout/Delivery Available,"Bacon Cheeseburger, Instagram, Spicy Chicken Bowl, Steak Burrito, Breakfast Sandwich","fresh, spicy"
Fatima Bazaar,"805 Scott Blvd, Santa Clara, CA 95050","International Grocery, Butcher, Halal",$,Sit-down,Menu extraction failed,Standard
Chick-fil-A,"1950 El Camino Real, Santa Clara, CA 95050","Fast Food, Salad, Chicken Shop",$$,Takeout/Delivery Available,"Chicken Strips, Buns, Cobb Salad, Polynesian, Spicy Chicken Sandwich","spicy, authentic"
Falafel and More,"805 Scott Blvd, Santa Clara, CA 95050",Falafel,$,Sit-down,Menu extraction failed,Standard
Oaxacan Kitchen Mobile,"2234 Lafayette St, Santa Clara, CA 95050","Mexican, Food Trucks, Cooking Classes",$$,Takeout/Delivery Available,Menu extraction failed,"authentic, fresh"
Tapsilog Cantina,"1998 Homestead Rd, Ste 121, Santa Clara, CA 95050","Filipino, Breakfast & Brunch, Beer Bar",$$,Sit-down,Menu extraction failed,Standard
Pizza Guys,"1998 Homestead Rd, Ste 101, Santa Clara, CA 95050",Pizza,$$,Sit-down,Menu extraction failed,Standard
Restaurant Gish,"1998 Homestead Rd, Ste 113, Santa Clara, CA 95050","New American, Korean",$$$$,Sit-down,Menu extraction failed,Standard
Burger King,"1925 El Camino Real, Santa Clara, CA 95050","Fast Food, Burgers",$,Sit-down,Menu extraction failed,Standard
Habit Burger & Grill,"2000 El Camino Real, Ste 19, Santa Clara, CA 95055","Salad, Burgers, Sandwiches",$,Sit-down,Menu extraction failed,Standard
Little Caesars Pizza,"2000 Homestead #C, Santa Clara, CA 95050","Pizza, Chicken Wings",$,Takeout/Delivery Available,Menu extraction failed,"fresh, authentic"
Mission City Grill,"2000 El Camino Real, Ste 1, Santa Clara, CA 95050","Bars, New American",$$,Takeout/Delivery Available,"Lobster Bisque, Fried Chicken, Chicken Fried Steak, Eggs Benedict, Chile Verde","fresh, crispy"
MoDo Hawaii,"2000 El Camino Real, Ste 11, Santa Clara, CA 95050","Donuts, Poke, Hawaiian",$$,Sit-down,Menu extraction failed,Standard
MOD Pizza,"2000 El Camino Real, Ste 15, Santa Clara, CA 95050","Pizza, Fast Food",$,Takeout/Delivery Available,"Mad Dog, Double Crust Pizza, Mini Pizza, Garlic Strips, White","authentic, fresh"
Nick The Greek,"2002 El Camino Real, Santa Clara, CA 95050",Greek,$$,Takeout/Delivery Available,"Chicken Souvlaki Pita, Gyro Bowl, Chicken Gyro Pita, Souvlaki Plate, Pork Belly Gyro","authentic, fresh"
Panera Bread,"2002 El Camino Real, Santa Clara, CA 95015","Salad, Soup, Sandwiches",$$,Sit-down,Menu extraction failed,Standard
MexCal Traditional Mexican Food,"2025 El Camino Real, Santa Clara, CA 95050","Food Trucks, Mexican",$,Sit-down,Menu extraction failed,Standard
Chipotle Mexican Grill,"2002 El Camino Real, Ste C, Santa Clara, CA 95050","Mexican, Fast Food",$,Sit-down,Menu extraction failed,Standard
Daily Donuts Sandwich,"1795 Scott Blvd, Ste 104, Santa Clara, CA 95050","Donuts, Bagels, Sandwiches",$,Sit-down,Menu extraction failed,Standard
Subway,"2480 De La Cruz Rd, Santa Clara, CA 95050","Sandwiches, Fast Food",$,Sit-down,Menu extraction failed,Standard
Bill's Cafe,"302 N Bascom Ave, San Jose, CA 95128","American, Breakfast & Brunch",$$,Sit-down,Menu extraction failed,Standard
Tay Ho,"2047 El Camino Real, Santa Clara, CA 95050","Vietnamese, Noodles",$$,Sit-down,Menu extraction failed,Standard
Mountain Mike's Pizza,"2011 Naglee Ave, San Jose, CA 95128","Pizza, Chicken Wings",$$,Sit-down,Menu extraction failed,Standard
Yuki Sushi,"1827 Pruneridge Ave, Santa Clara, CA 95050","Japanese, Sushi Bars",$$,Sit-down,Menu extraction failed,Standard
Rice Junky,"2089 El Camino Real, Santa Clara, CA 95050","Pubs, Korean, Wraps",$$,Sit-down,Menu extraction failed,Standard
Taco Bell,"250 North Bascom Avenue, San Jose, CA 95128","Fast Food, Mexican",$,Takeout/Delivery Available,Menu extraction failed,"authentic, fresh"
KFC,"250 N Bascom Ave, San Jose, CA 95128","Fast Food, Chicken Wings, Chicken Shop",$,Sit-down,Menu extraction failed,Standard
Pupusa Time,"949 Ruff Dr, San Jose, CA 95110","Salvadoran, Food Trucks, Empanadas",$$,Sit-down,Menu extraction failed,Standard
moonbowls,"949 Ruff Dr, San Jose, CA 95110","Korean, Gluten-Free",$$,Takeout/Delivery Available,"Impossible Beef Bowl, Crispy Cauliflower Bowl, Sweet Chicken Kimchi Bowl, Roasted Broccoli, Sesame Chicken Salad","authentic, sweet"
Ruff Food Pick-Up,"949 Ruff Dr, San Jose, CA 95110","Food Delivery Services, Italian, Indian",$$,Takeout/Delivery Available,"Locker, Byo Creamy Sesame Bowl, Garlic Noodles, Japanese Honey Toast","authentic, crispy"
Subway,"2068 El Camino Real, Santa Clara, CA 95050","Sandwiches, Fast Food",$,Sit-down,Menu extraction failed,Standard
Chick-fil-A,"1701 Airport Blvd Terminal B, Terminal B, San Jose International Airport, San Jose, CA 95110","Fast Food, Chicken Shop, Salad",$$,Sit-down,Menu extraction failed,Standard
Iraklis,"2165 El Camino Real, Santa Clara, CA 95050","Syrian, Lebanese, Halal",$$,Sit-down,Menu extraction failed,Standard
Shahi Darbar,"2155 El Camino Real, Santa Clara, CA 95050","Indian, Desserts, Kebab",$$,Takeout/Delivery Available,"Chicken Curry, Amritsari Saag, Palak Paneer, Sev Puri, Gobi Manchurian","authentic, fresh"
Trader Vics,"1701 Airport Blvd, San Jose, CA 95110","Tiki Bars, Cocktail Bars, Hawaiian",$$,Sit-down,Menu extraction failed,Standard
Kobe Japanese Restaurant,"2086 El Camino Real, Santa Clara, CA 95050","Japanese, Sushi Bars",$$,Sit-down,Menu extraction failed,Standard
China Stix Restaurant,"2110 El Camino Real, Santa Clara, CA 95050","Chinese, Seafood",$$,Takeout/Delivery Available,"Orange Chicken, Broccoli Beef, Minced Shrimp Lettuce Cup, Chinese Chicken Salad, Sweet and Sour Chicken","authentic, fresh"
Sushi Boat,"1701 Airport Blvd, San Jose, CA 95110","Japanese, Sushi Bars",$$,Sit-down,Menu extraction failed,Standard
Una Mas Mexican Grill,"1701 Airport Blvd, San Jose, CA 95110","Mexican, Steakhouses, Breakfast & Brunch",$,Sit-down,Menu extraction failed,Standard
Shark's Cage,"Mineta San Jose International Airport, Terminal A, San Jose, CA 95110",American,$$,Sit-down,Menu extraction failed,Standard
Marugame Udon - Valley Fair,"2855 Stevens Creek Blvd, Ste 2172, Santa Clara, CA 95050","Noodles, Japanese, Asian Fusion",$$,Sit-down,Menu extraction failed,Standard
Somisomi,"2855 Stevens Creek Blvd, Santa Clara, CA 95050","Desserts, Korean, Ice Cream & Frozen Yogurt",$,Sit-down,Menu extraction failed,Standard
Carl's Jr,"2495 Lafayette St, Santa Clara, CA 95050","Fast Food, Burgers",$,Sit-down,Menu extraction failed,Standard
Smashburger,"1701 Airport Blvd Space Nc-10, Spc Nc-10, San Jose, CA 95110","Burgers, Fast Food",$$,Sit-down,Menu extraction failed,Standard
Burger King,"1661 Airport Blvd, San Jose Internatioal Airport, Terminal C, San Jose, CA 95110","Food, Fast Food",$,Sit-down,Menu extraction failed,Standard
West Coast Sourdough San Jose Coleman,"695 Coleman Ave, Ste 30, San Jose, CA 95110","Sandwiches, Salad, Soup",$$,Sit-down,Menu extraction failed,Standard
Cafe Tazza,"2213 El Camino Real, Santa Clara, CA 95050",Indian,$,Sit-down,Menu extraction failed,Standard
